"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"FSI-threshold-check"
"07/25/2026 15:56:20:404 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","government-intervention?","fsi-threshold","rho","panic-rate","fertilizer-shock","fuel-shock","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments"
"1","true","0.2","0.1","1.02","0.627","0.75","29","64.24099124866771","26.60198770350046","0.47025"
"1","true","0.2","0.1","1.02","0.627","0.75","30","78.67428408341412","30.46247398106777","0.3135"
"1","true","0.2","0.1","1.02","0.627","0.75","31","75.90551261957786","29.73311734889995","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","35","150.62213636711846","51.90930640978023","0.3135"
"1","true","0.2","0.1","1.02","0.627","0.75","32","76.49228586021198","30.28987655330594","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","36","152.99810160397087","56.599910943369444","0.3135"
"1","true","0.2","0.1","1.02","0.627","0.75","33","73.69788536284663","29.568812359842717","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","37","153.18336958378222","56.921511755960836","0.3135"
"1","true","0.2","0.1","1.02","0.627","0.75","34","70.7741549313146","28.140354727569388","0.40034245836380916"
"3","true","0.2","0.1","1.02","0.627","0.75","38","145.10679739793906","55.245188633822956","0.47025"
"1","true","0.2","0.1","1.02","0.627","0.75","35","70.69934009756024","28.454191684936497","0.5570924583638092"
"3","true","0.2","0.1","1.02","0.627","0.75","39","191.86397301595528","57.332914418129924","0.3135"
"1","true","0.2","0.1","1.02","0.627","0.75","36","79.2926232181714","27.619541369112746","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","40","157.90248680753064","46.64162739993172","0.3135"
"1","true","0.2","0.1","1.02","0.627","0.75","37","79.26895639476044","27.52456953597354","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","41","158.85581391269702","47.58080792480077","0.3135"
"1","true","0.2","0.1","1.02","0.627","0.75","38","78.94451698879833","27.75823745166904","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","42","132.26438715705228","39.52704522199906","0.3901463604493295"
"1","true","0.2","0.1","1.02","0.627","0.75","39","79.19239416545044","27.744595805174676","0.3135"
"1","true","0.2","0.1","1.02","0.627","0.75","40","80.06904210104703","28.727497563382034","0.3135"
"1","true","0.2","0.1","1.02","0.627","0.75","41","94.7143906372633","28.586187758366748","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","43","126.04029873201922","38.024828314458205","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","44","137.640387577057","37.935654827837276","0.3135"
"2","true","0.2","0.1","1.02","0.627","0.75","0","0","0","1"
"3","true","0.2","0.1","1.02","0.627","0.75","45","135.93304271827364","37.54369265646636","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","46","136.1788313021655","39.523550068780736","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","47","135.63957494322764","39.024309282817","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","48","128.50598454812655","37.446156496585616","0.47025"
"3","true","0.2","0.1","1.02","0.627","0.75","49","157.7455742319827","39.01378877025999","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","50","152.69507667752168","37.458410761315925","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","51","153.49551324049145","38.12258498052438","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","52","147.1756335984795","36.36052195010226","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","53","148.17207536650463","37.12943405505273","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","54","162.34867017755826","37.372669824244255","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","55","161.62098884400305","37.632559413066836","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","56","150.72553114982614","34.89384196182498","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","57","150.6282972859403","34.84233471617112","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","58","151.4992759122061","35.4573458296845","0.47025"
"3","true","0.2","0.1","1.02","0.627","0.75","59","147.59195935753357","34.70688621550867","0.47025"
"3","true","0.2","0.1","1.02","0.627","0.75","60","148.1903727131462","36.23747342488246","0.41975253074247393"
"3","true","0.2","0.1","1.02","0.627","0.75","61","151.84881741128385","36.137096000401904","0.3135"
