"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"government-comparison"
"07/25/2026 14:37:30:554 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","government-intervention?","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments","[production-capacity] of one-of farmers"
"3","true","156","18.15978313924006","6.343655249262291","0.2542661470718333","49.650000000000006"
"2","true","156","23.33739346485089","9.609897764129355","0.24832709491552715","49.650000000000006"
"4","true","156","20.104371402055357","7.546589137723813","0.33139192662807715","49.650000000000006"
"5","true","156","17.098327784558126","6.827898039717199","0.28233144360594226","49.650000000000006"
"7","true","156","16.301830314657046","6.12865202224684","0.3443248036980858","49.650000000000006"
"6","true","156","19.106281526909566","7.629513455796929","0.3830308028918624","49.650000000000006"
"8","true","156","26.64263414690368","7.337652065725167","0.2581759030253647","49.650000000000006"
"10","true","156","17.34800851575538","6.070482107185845","0.3068140234758768","49.650000000000006"
"9","true","156","27.58435830528819","9.207673071276574","0.25075997265571537","49.650000000000006"
"12","true","156","24.226858301014396","9.95373245860511","0.37459556346418077","49.650000000000006"
"11","true","156","27.424842340776696","7.254719460814865","0.2630281154068056","49.650000000000006"
"14","true","156","20.629151630341287","7.436027923850685","0.273365488076331","49.650000000000006"
"13","true","156","19.42576034693061","7.776673507704855","0.24952845556823486","49.650000000000006"
"15","true","156","25.2771866426918","7.128919249174352","0.35462184099528804","49.650000000000006"
"16","true","156","17.861664518292923","6.069627167419638","0.2546160964803038","49.650000000000006"
"17","true","156","18.640621315152163","6.710933002840501","0.33140336449299246","49.650000000000006"
"19","true","156","22.04912330772181","6.616890246107697","0.2591296090434709","49.650000000000006"
"18","true","156","22.393933775947925","7.380258516024725","0.252068326348326","49.650000000000006"
"20","true","156","26.44839066473048","7.6554619413557585","0.3127517591984318","49.650000000000006"
"21","true","156","21.73067070150377","9.547086572908809","0.2769900002240485","49.650000000000006"
"22","true","156","27.425727551378575","7.792014959254592","0.38412609062668845","49.650000000000006"
